player,team,games,position,recTarg,recRec,recRec40s,recYds,recYds100Games,recTds,recTd40s,recDrops,catch,depth,ypt,ypr,rac,rzRecTarg,rzRecRec,rzRecTds,rzRecTargPct,rzRecRecPct,rzRecTdPct,ezRecTarg,ezRecTds,ezRecTargPct,ezRecRecPct,ezRecTdPct,rushCarries,rush40s,rushYds,rushYds100Games,rushTds,rushTd40s,ypc,yac,rushTa,tat,fumbles,rzRushCarries,rzRushTds,rzRushPct,rzRushTdPct,i5RushCarries,i5RushTds,i5RushPct,i5RushTdPct,patConversions,patAttempts,fantasyPts,ptsPerSnap,ptsPerTouch
Jalin Hyatt,NYG,17,WR,40,23,3,373,1,0,0,4,57.5,20.7,9.32,16.22,2.3,8,2,0,20,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,60.3,0.11,2.62
Quentin Johnston,LAC,17,WR,65,38,1,431,0,2,0,2,58.5,12.95,6.63,11.34,4,16,6,2,24.6,15.8,100,7,2,10.8,5.3,100,3,0,9,0,0,0,3,0.67,1,0.33,0,0,0,0,0,0,0,0,0,0,0,94,0.13,2.29
Mason Kinsey,TEN,6,WR,1,1,0,6,0,0,0,0,100,-3,6,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0.06,1.6
Jalen Brooks,DAL,7,WR,6,6,0,64,0,0,0,0,100,5.67,10.67,10.67,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4,0.16,2.07
Jameson Williams,DET,12,WR,42,24,2,354,0,2,1,5,57.1,16,8.43,14.75,4.29,11,6,2,26.2,25,100,1,1,2.4,4.2,50,3,0,29,0,1,0,9.67,5.33,0,0,1,1,1,33.3,100,0,0,0,0,0,0,80.3,0.18,2.97
Puka Nacua,LA,17,WR,153,105,3,1486,7,6,1,13,68.6,9.39,9.71,14.15,5.97,29,14,5,19,13.3,83.3,10,4,6.5,3.8,66.7,12,0,89,0,0,0,7.42,3,7,0.58,1,3,0,25,0,0,0,0,0,0,0,298.5,0.3,2.55
Garrett Wilson,NYJ,17,WR,163,95,2,1042,2,3,1,6,58.3,10.56,6.39,10.97,3.36,29,14,2,17.8,14.7,66.7,7,2,4.3,2.1,66.7,4,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,217.2,0.22,2.19
Malik Taylor,NYJ,3,WR,4,2,0,13,0,0,0,0,50,23,3.25,6.5,4,1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0.06,1.65
Drake London,ATL,16,WR,106,69,1,905,2,2,0,3,65.1,11.67,8.54,13.12,2.83,23,15,2,21.7,21.7,100,7,2,6.6,2.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,171.5,0.2,2.49
Amon-Ra St. Brown,DET,16,WR,158,119,3,1515,9,10,1,4,75.3,7.97,9.59,12.73,5.69,33,20,7,20.9,16.8,70,5,2,3.2,1.7,20,4,0,24,0,0,0,6,2,0,0,1,1,0,25,0,0,0,0,0,0,2,332.9,0.33,2.71
Jahan Dotson,WAS,17,WR,79,49,0,518,1,4,0,4,62,10,6.56,10.57,2.41,20,10,4,25.3,20.4,100,9,4,11.4,8.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.8,0.14,2.55
Romeo Doubs,GB,17,WR,93,59,0,674,0,8,0,4,63.4,12.54,7.25,11.42,2.34,25,14,8,26.9,23.7,100,14,7,15.1,11.9,87.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,174.4,0.21,2.96
Elijah Moore,CLV,17,WR,98,59,1,640,0,2,0,5,60.2,11.31,6.53,10.85,3.34,22,9,2,22.4,15.3,100,4,1,4.1,1.7,50,9,0,11,0,0,0,1.22,2.11,1,0.11,1,1,0,11.1,0,0,0,0,0,0,0,136.1,0.15,2
